顧客ID,性別コード,年齢層,お仕事,お住まい,家族構成,趣味・関心事,最近の悩み,顧客プロフィール,会員ランク,年間購入額
87c7a90a,女,62,パート,東京都,既婚子あり（2人以上）,料理、ショッピング、音楽,老後の資金,東京都在住62歳女性。パートとして働く。趣味は料理、ショッピング、音楽。,一般,191315
265a75ad,男,61,販売スタッフ,福岡県,独身,写真、ガーデニング,転職,福岡県在住61歳男性。販売スタッフとして働く。趣味は写真、ガーデニング。,シルバー,100927
99113535,女,46,管理職,愛知県,独身,スポーツ、写真,住宅ローン,愛知県在住46歳女性。管理職として働く。趣味はスポーツ、写真。,一般,359051
cf289fd2,男,20,フリーランス,広島県,既婚子あり（2人以上）,DIY、ゲーム、ショッピング、スポーツ,スキルアップ,広島県在住20歳男性。フリーランスとして働く。趣味はDIY、ゲーム、ショッピング、スポーツ。,一般,213366
25ccf933,男,67,ITエンジニア,大阪府,既婚子あり（2人以上）,読書、ゲーム、料理、映画鑑賞,健康管理,大阪府在住67歳男性。ITエンジニアとして働く。趣味は読書、ゲーム、料理、映画鑑賞。,一般,101065
1fb0a025,男,34,管理職,宮城県,既婚子あり（1人）,旅行、スポーツ、写真、ショッピング,転職,宮城県在住34歳男性。管理職として働く。趣味は旅行、スポーツ、写真、ショッピング。,一般,458207
5730a490,男,39,管理職,北海道,既婚子あり（2人以上）,ガーデニング、読書,転職,北海道在住39歳男性。管理職として働く。趣味はガーデニング、読書。,ゴールド,197407
f0f011a0,男,36,事務職,埼玉県,既婚子なし,写真、ショッピング,副業,埼玉県在住36歳男性。事務職として働く。趣味は写真、ショッピング。,一般,281805
a097b5fa,男,28,管理職,北海道,既婚子あり（1人）,音楽、スポーツ、DIY、旅行,転職,北海道在住28歳男性。管理職として働く。趣味は音楽、スポーツ、DIY、旅行。,シルバー,478918
65c1a1b7,男,56,学生,広島県,既婚子なし,旅行、スポーツ,人間関係,広島県在住56歳男性。学生として働く。趣味は旅行、スポーツ。,一般,37454
6ce545b6,女,38,主婦,東京都,既婚子なし,旅行、ガーデニング、ゲーム,ワークライフバランス,東京都在住38歳女性。主婦として働く。趣味は旅行、ガーデニング、ゲーム。,ブロンズ,179502
024752bc,女,58,営業職,大阪府,既婚子なし,スポーツ、料理、写真,ワークライフバランス,大阪府在住58歳女性。営業職として働く。趣味はスポーツ、料理、写真。,シルバー,257719
0aef1d8b,女,65,主婦,埼玉県,既婚子なし,ガーデニング、カフェ巡り、DIY,ワークライフバランス,埼玉県在住65歳女性。主婦として働く。趣味はガーデニング、カフェ巡り、DIY。,一般,376254
4388d4e8,女,68,学生,神奈川県,独身,DIY、ガーデニング、読書、音楽,転職,神奈川県在住68歳女性。学生として働く。趣味はDIY、ガーデニング、読書、音楽。,シルバー,289077
0407b6bf,女,51,事務職,北海道,既婚子あり（1人）,読書、旅行,スキルアップ,北海道在住51歳女性。事務職として働く。趣味は読書、旅行。,ブロンズ,85730
306d98cd,女,65,事務職,福岡県,既婚子あり（1人）,音楽、読書,人間関係,福岡県在住65歳女性。事務職として働く。趣味は音楽、読書。,ゴールド,380301
016f75ba,女,64,ITエンジニア,埼玉県,既婚子なし,料理、写真,子供の教育,埼玉県在住64歳女性。ITエンジニアとして働く。趣味は料理、写真。,シルバー,34275
cd52fdaa,男,55,ITエンジニア,大阪府,既婚子なし,映画鑑賞、写真、料理,スキルアップ,大阪府在住55歳男性。ITエンジニアとして働く。趣味は映画鑑賞、写真、料理。,一般,190862
c60b96cd,男,40,営業職,愛知県,既婚子あり（2人以上）,写真、読書,住宅ローン,愛知県在住40歳男性。営業職として働く。趣味は写真、読書。,ゴールド,414221
5a891b85,男,21,主婦,千葉県,独身,旅行、ガーデニング、カフェ巡り,転職,千葉県在住21歳男性。主婦として働く。趣味は旅行、ガーデニング、カフェ巡り。,一般,248119
d940f9bc,男,23,販売スタッフ,大阪府,既婚子なし,音楽、料理,キャリアアップ,大阪府在住23歳男性。販売スタッフとして働く。趣味は音楽、料理。,ゴールド,472932
241ab57f,女,58,営業職,広島県,既婚子あり（2人以上）,カフェ巡り、ショッピング、スポーツ、読書,子供の教育,広島県在住58歳女性。営業職として働く。趣味はカフェ巡り、ショッピング、スポーツ、読書。,一般,264707
5c2984c0,男,27,医療従事者,広島県,既婚子あり（1人）,料理、音楽、ゲーム、ガーデニング,子供の教育,広島県在住27歳男性。医療従事者として働く。趣味は料理、音楽、ゲーム、ガーデニング。,ブロンズ,63714
402f48c6,男,68,パート,大阪府,既婚子あり（2人以上）,スポーツ、写真、ゲーム、ガーデニング,スキルアップ,大阪府在住68歳男性。パートとして働く。趣味はスポーツ、写真、ゲーム、ガーデニング。,ゴールド,300673
fc913818,女,21,ITエンジニア,広島県,既婚子あり（2人以上）,アウトドア、音楽、カフェ巡り、写真,住宅ローン,広島県在住21歳女性。ITエンジニアとして働く。趣味はアウトドア、音楽、カフェ巡り、写真。,ブロンズ,411261
53d49afe,女,52,学生,福岡県,既婚子あり（2人以上）,ガーデニング、音楽、読書,住宅ローン,福岡県在住52歳女性。学生として働く。趣味はガーデニング、音楽、読書。,ブロンズ,134615
519e8c1f,男,69,事務職,福岡県,既婚子あり（1人）,アウトドア、音楽、映画鑑賞、カフェ巡り,子供の教育,福岡県在住69歳男性。事務職として働く。趣味はアウトドア、音楽、映画鑑賞、カフェ巡り。,一般,495680
e5b13c8f,女,23,営業職,神奈川県,独身,読書、音楽、写真,子供の教育,神奈川県在住23歳女性。営業職として働く。趣味は読書、音楽、写真。,ブロンズ,106555
5ca2de56,女,60,ITエンジニア,大阪府,既婚子なし,読書、ゲーム、アウトドア、写真,キャリアアップ,大阪府在住60歳女性。ITエンジニアとして働く。趣味は読書、ゲーム、アウトドア、写真。,一般,454099
46794587,女,39,販売スタッフ,埼玉県,独身,スポーツ、旅行、音楽,住宅ローン,埼玉県在住39歳女性。販売スタッフとして働く。趣味はスポーツ、旅行、音楽。,ゴールド,60624
4e5d7c5e,男,34,医療従事者,神奈川県,独身,旅行、音楽,副業,神奈川県在住34歳男性。医療従事者として働く。趣味は旅行、音楽。,ゴールド,486143
1d7858ae,女,47,事務職,北海道,独身,ガーデニング、写真,キャリアアップ,北海道在住47歳女性。事務職として働く。趣味はガーデニング、写真。,シルバー,189699
35cd2d4e,女,66,フリーランス,宮城県,既婚子あり（1人）,DIY、カフェ巡り、スポーツ,転職,宮城県在住66歳女性。フリーランスとして働く。趣味はDIY、カフェ巡り、スポーツ。,ゴールド,19307
a80b83e2,女,38,営業職,福岡県,既婚子あり（1人）,旅行、ゲーム、アウトドア,人間関係,福岡県在住38歳女性。営業職として働く。趣味は旅行、ゲーム、アウトドア。,シルバー,416788
7eb3e118,男,30,医療従事者,宮城県,既婚子あり（1人）,音楽、カフェ巡り,転職,宮城県在住30歳男性。医療従事者として働く。趣味は音楽、カフェ巡り。,ブロンズ,438033
da5897c7,女,36,フリーランス,埼玉県,既婚子なし,アウトドア、ゲーム,健康管理,埼玉県在住36歳女性。フリーランスとして働く。趣味はアウトドア、ゲーム。,シルバー,429779
704f9bf3,女,22,ITエンジニア,東京都,独身,料理、ショッピング,スキルアップ,東京都在住22歳女性。ITエンジニアとして働く。趣味は料理、ショッピング。,シルバー,59780
15aae3b2,男,54,主婦,東京都,独身,写真、旅行、アウトドア、読書,人間関係,東京都在住54歳男性。主婦として働く。趣味は写真、旅行、アウトドア、読書。,シルバー,331140
dcd1f76a,男,51,ITエンジニア,東京都,独身,ガーデニング、ゲーム、料理,老後の資金,東京都在住51歳男性。ITエンジニアとして働く。趣味はガーデニング、ゲーム、料理。,一般,444640
0bbfd402,女,43,フリーランス,千葉県,独身,アウトドア、映画鑑賞,転職,千葉県在住43歳女性。フリーランスとして働く。趣味はアウトドア、映画鑑賞。,ブロンズ,305108
afa9dd78,女,37,営業職,神奈川県,既婚子あり（1人）,音楽、アウトドア、映画鑑賞、ゲーム,ワークライフバランス,神奈川県在住37歳女性。営業職として働く。趣味は音楽、アウトドア、映画鑑賞、ゲーム。,シルバー,246829
363e9e0e,女,55,フリーランス,愛知県,独身,アウトドア、映画鑑賞、旅行,スキルアップ,愛知県在住55歳女性。フリーランスとして働く。趣味はアウトドア、映画鑑賞、旅行。,ゴールド,259848
e626800b,女,60,主婦,愛知県,既婚子あり（2人以上）,ショッピング、音楽、DIY、ゲーム,副業,愛知県在住60歳女性。主婦として働く。趣味はショッピング、音楽、DIY、ゲーム。,一般,289790
036bcb13,女,41,フリーランス,千葉県,既婚子あり（1人）,ゲーム、写真、ショッピング、アウトドア,住宅ローン,千葉県在住41歳女性。フリーランスとして働く。趣味はゲーム、写真、ショッピング、アウトドア。,一般,403300
752dac4a,男,68,医療従事者,愛知県,独身,旅行、ガーデニング、ゲーム、読書,副業,愛知県在住68歳男性。医療従事者として働く。趣味は旅行、ガーデニング、ゲーム、読書。,一般,381795
1bebbdb7,女,25,管理職,宮城県,独身,DIY、旅行、写真,住宅ローン,宮城県在住25歳女性。管理職として働く。趣味はDIY、旅行、写真。,ブロンズ,12375
64676281,女,36,事務職,埼玉県,既婚子あり（1人）,音楽、アウトドア,健康管理,埼玉県在住36歳女性。事務職として働く。趣味は音楽、アウトドア。,ゴールド,398212
f1a30464,女,62,事務職,埼玉県,既婚子あり（1人）,ガーデニング、旅行,副業,埼玉県在住62歳女性。事務職として働く。趣味はガーデニング、旅行。,シルバー,142709
308d7d21,女,25,フリーランス,東京都,独身,DIY、ゲーム、カフェ巡り,老後の資金,東京都在住25歳女性。フリーランスとして働く。趣味はDIY、ゲーム、カフェ巡り。,一般,323432
421d887c,男,61,フリーランス,福岡県,既婚子あり（1人）,ガーデニング、スポーツ,副業,福岡県在住61歳男性。フリーランスとして働く。趣味はガーデニング、スポーツ。,一般,224799
865de466,男,36,教員,愛知県,独身,写真、スポーツ、アウトドア,副業,愛知県在住36歳男性。教員として働く。趣味は写真、スポーツ、アウトドア。,ブロンズ,128476
f5fd66a2,女,25,ITエンジニア,神奈川県,独身,旅行、映画鑑賞、DIY,人間関係,神奈川県在住25歳女性。ITエンジニアとして働く。趣味は旅行、映画鑑賞、DIY。,ゴールド,266735
18a1a024,男,61,販売スタッフ,神奈川県,既婚子あり（2人以上）,読書、料理,副業,神奈川県在住61歳男性。販売スタッフとして働く。趣味は読書、料理。,ブロンズ,192064
ad3fa12f,女,24,主婦,福岡県,既婚子あり（2人以上）,カフェ巡り、DIY、ショッピング,キャリアアップ,福岡県在住24歳女性。主婦として働く。趣味はカフェ巡り、DIY、ショッピング。,一般,451247
e8ee2486,女,47,学生,大阪府,既婚子あり（2人以上）,スポーツ、料理、旅行,スキルアップ,大阪府在住47歳女性。学生として働く。趣味はスポーツ、料理、旅行。,一般,282247
3ba2705c,女,39,営業職,神奈川県,既婚子あり（1人）,ショッピング、DIY、読書,ワークライフバランス,神奈川県在住39歳女性。営業職として働く。趣味はショッピング、DIY、読書。,一般,46991
b65a8c6f,女,22,営業職,東京都,独身,料理、ショッピング、写真,老後の資金,東京都在住22歳女性。営業職として働く。趣味は料理、ショッピング、写真。,シルバー,328912
72a48e50,男,65,販売スタッフ,神奈川県,独身,ゲーム、読書、アウトドア,ワークライフバランス,神奈川県在住65歳男性。販売スタッフとして働く。趣味はゲーム、読書、アウトドア。,一般,486075
17167df0,男,24,事務職,福岡県,独身,ゲーム、アウトドア、旅行、映画鑑賞,住宅ローン,福岡県在住24歳男性。事務職として働く。趣味はゲーム、アウトドア、旅行、映画鑑賞。,ゴールド,110802
5c7afa9a,女,24,管理職,神奈川県,独身,料理、ガーデニング,副業,神奈川県在住24歳女性。管理職として働く。趣味は料理、ガーデニング。,ブロンズ,408146
d10f62ba,女,49,医療従事者,広島県,既婚子なし,スポーツ、読書,キャリアアップ,広島県在住49歳女性。医療従事者として働く。趣味はスポーツ、読書。,シルバー,159055
9d3d8a96,男,28,教員,東京都,既婚子あり（2人以上）,アウトドア、音楽、旅行,人間関係,東京都在住28歳男性。教員として働く。趣味はアウトドア、音楽、旅行。,ブロンズ,204978
e5cc2ee6,女,58,フリーランス,千葉県,既婚子なし,旅行、カフェ巡り、スポーツ,人間関係,千葉県在住58歳女性。フリーランスとして働く。趣味は旅行、カフェ巡り、スポーツ。,ブロンズ,184928
f83ce911,男,45,フリーランス,千葉県,既婚子あり（1人）,音楽、写真、旅行,キャリアアップ,千葉県在住45歳男性。フリーランスとして働く。趣味は音楽、写真、旅行。,ゴールド,460427
73882882,女,22,ITエンジニア,埼玉県,既婚子なし,カフェ巡り、ゲーム,副業,埼玉県在住22歳女性。ITエンジニアとして働く。趣味はカフェ巡り、ゲーム。,シルバー,262984
7d240f07,女,36,学生,北海道,既婚子なし,ゲーム、カフェ巡り、DIY,老後の資金,北海道在住36歳女性。学生として働く。趣味はゲーム、カフェ巡り、DIY。,ブロンズ,333510
8805e7c2,男,62,医療従事者,福岡県,既婚子なし,DIY、旅行,キャリアアップ,福岡県在住62歳男性。医療従事者として働く。趣味はDIY、旅行。,シルバー,386984
7c6ac63c,女,24,学生,東京都,既婚子あり（2人以上）,ガーデニング、ゲーム、旅行、スポーツ,転職,東京都在住24歳女性。学生として働く。趣味はガーデニング、ゲーム、旅行、スポーツ。,ゴールド,386499
9ee8ee8f,女,42,販売スタッフ,宮城県,独身,スポーツ、ガーデニング、ショッピング,ワークライフバランス,宮城県在住42歳女性。販売スタッフとして働く。趣味はスポーツ、ガーデニング、ショッピング。,シルバー,270549
fb1ef969,男,56,管理職,千葉県,既婚子なし,スポーツ、読書,老後の資金,千葉県在住56歳男性。管理職として働く。趣味はスポーツ、読書。,一般,263186
e2d92256,女,30,教員,福岡県,既婚子なし,アウトドア、カフェ巡り、DIY、映画鑑賞,副業,福岡県在住30歳女性。教員として働く。趣味はアウトドア、カフェ巡り、DIY、映画鑑賞。,ゴールド,483215
7fc9e9f3,男,57,パート,神奈川県,既婚子あり（1人）,旅行、カフェ巡り,老後の資金,神奈川県在住57歳男性。パートとして働く。趣味は旅行、カフェ巡り。,ブロンズ,78871
201fdc47,女,46,販売スタッフ,広島県,既婚子なし,スポーツ、ガーデニング,老後の資金,広島県在住46歳女性。販売スタッフとして働く。趣味はスポーツ、ガーデニング。,ゴールド,178297
e33693d0,男,23,学生,北海道,独身,読書、DIY、ショッピング、旅行,人間関係,北海道在住23歳男性。学生として働く。趣味は読書、DIY、ショッピング、旅行。,シルバー,447018
d9a69015,女,37,医療従事者,愛知県,既婚子あり（1人）,ゲーム、アウトドア,転職,愛知県在住37歳女性。医療従事者として働く。趣味はゲーム、アウトドア。,ブロンズ,425506
53b91332,男,61,ITエンジニア,宮城県,独身,ショッピング、料理、スポーツ,子供の教育,宮城県在住61歳男性。ITエンジニアとして働く。趣味はショッピング、料理、スポーツ。,ゴールド,449061
9a7578fe,女,42,販売スタッフ,千葉県,既婚子なし,アウトドア、DIY,転職,千葉県在住42歳女性。販売スタッフとして働く。趣味はアウトドア、DIY。,一般,391910
fc98fd3f,男,66,医療従事者,宮城県,独身,読書、ガーデニング、カフェ巡り,健康管理,宮城県在住66歳男性。医療従事者として働く。趣味は読書、ガーデニング、カフェ巡り。,シルバー,366720
cdc40d18,女,66,教員,埼玉県,既婚子なし,ショッピング、スポーツ,スキルアップ,埼玉県在住66歳女性。教員として働く。趣味はショッピング、スポーツ。,ブロンズ,419270
927a5246,男,57,管理職,宮城県,既婚子あり（1人）,旅行、DIY、スポーツ、料理,健康管理,宮城県在住57歳男性。管理職として働く。趣味は旅行、DIY、スポーツ、料理。,一般,59462
6a9c066a,男,50,事務職,東京都,既婚子あり（1人）,ゲーム、音楽、料理、旅行,転職,東京都在住50歳男性。事務職として働く。趣味はゲーム、音楽、料理、旅行。,ゴールド,344839
b8677c0a,男,34,学生,愛知県,独身,ガーデニング、アウトドア、旅行、料理,キャリアアップ,愛知県在住34歳男性。学生として働く。趣味はガーデニング、アウトドア、旅行、料理。,シルバー,316344
b25a6bd7,女,35,販売スタッフ,千葉県,独身,写真、ガーデニング、スポーツ、映画鑑賞,健康管理,千葉県在住35歳女性。販売スタッフとして働く。趣味は写真、ガーデニング、スポーツ、映画鑑賞。,シルバー,261340
e576eae6,男,58,管理職,東京都,既婚子なし,旅行、料理、カフェ巡り,人間関係,東京都在住58歳男性。管理職として働く。趣味は旅行、料理、カフェ巡り。,一般,121736
bbd542b9,男,21,学生,宮城県,既婚子あり（2人以上）,ショッピング、映画鑑賞,住宅ローン,宮城県在住21歳男性。学生として働く。趣味はショッピング、映画鑑賞。,ゴールド,482657
8afdf852,女,68,ITエンジニア,福岡県,既婚子なし,旅行、読書、写真、ショッピング,人間関係,福岡県在住68歳女性。ITエンジニアとして働く。趣味は旅行、読書、写真、ショッピング。,ブロンズ,192010
9927b9a2,男,27,医療従事者,宮城県,既婚子あり（2人以上）,料理、スポーツ,ワークライフバランス,宮城県在住27歳男性。医療従事者として働く。趣味は料理、スポーツ。,シルバー,78659
325a34fd,男,56,教員,北海道,既婚子あり（2人以上）,料理、音楽、写真、映画鑑賞,老後の資金,北海道在住56歳男性。教員として働く。趣味は料理、音楽、写真、映画鑑賞。,一般,78464
d06c7746,男,54,パート,神奈川県,独身,映画鑑賞、カフェ巡り、ショッピング,キャリアアップ,神奈川県在住54歳男性。パートとして働く。趣味は映画鑑賞、カフェ巡り、ショッピング。,ゴールド,221736
67244631,男,55,管理職,大阪府,既婚子なし,旅行、ショッピング、DIY、カフェ巡り,子供の教育,大阪府在住55歳男性。管理職として働く。趣味は旅行、ショッピング、DIY、カフェ巡り。,一般,120017
b9515613,男,34,フリーランス,福岡県,既婚子あり（2人以上）,ショッピング、スポーツ、DIY、ガーデニング,子供の教育,福岡県在住34歳男性。フリーランスとして働く。趣味はショッピング、スポーツ、DIY、ガーデニング。,ゴールド,102137
ffcdcd10,男,33,販売スタッフ,愛知県,独身,映画鑑賞、カフェ巡り,子供の教育,愛知県在住33歳男性。販売スタッフとして働く。趣味は映画鑑賞、カフェ巡り。,ゴールド,224340
7211e230,男,59,学生,福岡県,既婚子あり（2人以上）,アウトドア、映画鑑賞、ショッピング、ガーデニング,老後の資金,福岡県在住59歳男性。学生として働く。趣味はアウトドア、映画鑑賞、ショッピング、ガーデニング。,ブロンズ,198241
1c1452a3,女,28,ITエンジニア,愛知県,既婚子あり（2人以上）,写真、ゲーム,キャリアアップ,愛知県在住28歳女性。ITエンジニアとして働く。趣味は写真、ゲーム。,シルバー,243240
1fe6ab6f,女,42,フリーランス,千葉県,独身,写真、ショッピング,転職,千葉県在住42歳女性。フリーランスとして働く。趣味は写真、ショッピング。,シルバー,208386
b86fcb05,女,39,ITエンジニア,広島県,既婚子あり（1人）,アウトドア、料理,住宅ローン,広島県在住39歳女性。ITエンジニアとして働く。趣味はアウトドア、料理。,ブロンズ,173748
74cb3efc,女,61,主婦,神奈川県,独身,映画鑑賞、ショッピング、DIY、アウトドア,老後の資金,神奈川県在住61歳女性。主婦として働く。趣味は映画鑑賞、ショッピング、DIY、アウトドア。,一般,284869
442d31d8,女,25,医療従事者,愛知県,独身,ゲーム、ショッピング,健康管理,愛知県在住25歳女性。医療従事者として働く。趣味はゲーム、ショッピング。,ブロンズ,123386
2ba6c9e8,女,67,販売スタッフ,千葉県,既婚子あり（1人）,映画鑑賞、ガーデニング、カフェ巡り,スキルアップ,千葉県在住67歳女性。販売スタッフとして働く。趣味は映画鑑賞、ガーデニング、カフェ巡り。,一般,121233
dea6c1af,男,29,パート,大阪府,既婚子なし,スポーツ、ゲーム、読書、写真,人間関係,大阪府在住29歳男性。パートとして働く。趣味はスポーツ、ゲーム、読書、写真。,ブロンズ,230142
9e18729f,男,58,管理職,埼玉県,既婚子あり（2人以上）,旅行、カフェ巡り,人間関係,埼玉県在住58歳男性。管理職として働く。趣味は旅行、カフェ巡り。,ゴールド,30707
a2890376,女,46,パート,神奈川県,既婚子あり（2人以上）,ゲーム、カフェ巡り、ショッピング、音楽,子供の教育,神奈川県在住46歳女性。パートとして働く。趣味はゲーム、カフェ巡り、ショッピング、音楽。,シルバー,447794
ff7e2091,男,21,営業職,東京都,既婚子あり（1人）,映画鑑賞、音楽,スキルアップ,東京都在住21歳男性。営業職として働く。趣味は映画鑑賞、音楽。,ブロンズ,225100
1605f281,女,37,パート,埼玉県,既婚子あり（1人）,DIY、料理,子供の教育,埼玉県在住37歳女性。パートとして働く。趣味はDIY、料理。,シルバー,75622
635681f8,女,55,営業職,東京都,既婚子なし,写真、音楽、ガーデニング,住宅ローン,東京都在住55歳女性。営業職として働く。趣味は写真、音楽、ガーデニング。,ゴールド,17254
79012674,男,55,主婦,千葉県,既婚子あり（1人）,読書、写真、DIY,人間関係,千葉県在住55歳男性。主婦として働く。趣味は読書、写真、DIY。,一般,151362
a52ae056,男,22,教員,宮城県,既婚子なし,映画鑑賞、写真、ガーデニング,ワークライフバランス,宮城県在住22歳男性。教員として働く。趣味は映画鑑賞、写真、ガーデニング。,ゴールド,156223
f5a11e01,男,46,ITエンジニア,大阪府,既婚子あり（2人以上）,読書、旅行、カフェ巡り,住宅ローン,大阪府在住46歳男性。ITエンジニアとして働く。趣味は読書、旅行、カフェ巡り。,一般,18113
e6b8c3b0,女,49,管理職,神奈川県,独身,ガーデニング、アウトドア,転職,神奈川県在住49歳女性。管理職として働く。趣味はガーデニング、アウトドア。,シルバー,359143
c517a184,男,21,販売スタッフ,宮城県,独身,音楽、料理、アウトドア,人間関係,宮城県在住21歳男性。販売スタッフとして働く。趣味は音楽、料理、アウトドア。,ゴールド,71815
90040536,女,40,事務職,広島県,既婚子なし,ガーデニング、アウトドア、料理,子供の教育,広島県在住40歳女性。事務職として働く。趣味はガーデニング、アウトドア、料理。,シルバー,91013
a89437db,男,44,営業職,埼玉県,既婚子なし,ショッピング、アウトドア,住宅ローン,埼玉県在住44歳男性。営業職として働く。趣味はショッピング、アウトドア。,ゴールド,70598
c630182c,男,60,管理職,福岡県,既婚子なし,写真、スポーツ、ショッピング,住宅ローン,福岡県在住60歳男性。管理職として働く。趣味は写真、スポーツ、ショッピング。,ゴールド,357752
dfcee957,男,52,主婦,宮城県,既婚子なし,料理、スポーツ、音楽、映画鑑賞,スキルアップ,宮城県在住52歳男性。主婦として働く。趣味は料理、スポーツ、音楽、映画鑑賞。,ブロンズ,368445
cfc3dbdd,男,63,営業職,千葉県,既婚子あり（1人）,音楽、アウトドア、映画鑑賞,老後の資金,千葉県在住63歳男性。営業職として働く。趣味は音楽、アウトドア、映画鑑賞。,ゴールド,357661
ac73f8af,女,47,事務職,愛知県,既婚子あり（2人以上）,DIY、映画鑑賞,健康管理,愛知県在住47歳女性。事務職として働く。趣味はDIY、映画鑑賞。,ゴールド,269918
3544595c,男,37,管理職,東京都,既婚子あり（2人以上）,カフェ巡り、ショッピング,人間関係,東京都在住37歳男性。管理職として働く。趣味はカフェ巡り、ショッピング。,一般,17999
c2ca8ea3,女,62,販売スタッフ,大阪府,既婚子あり（2人以上）,旅行、写真、ゲーム,ワークライフバランス,大阪府在住62歳女性。販売スタッフとして働く。趣味は旅行、写真、ゲーム。,シルバー,180194
2d971537,女,39,ITエンジニア,広島県,既婚子あり（1人）,映画鑑賞、読書,健康管理,広島県在住39歳女性。ITエンジニアとして働く。趣味は映画鑑賞、読書。,一般,391965
54f63042,男,56,医療従事者,東京都,独身,映画鑑賞、音楽、旅行,転職,東京都在住56歳男性。医療従事者として働く。趣味は映画鑑賞、音楽、旅行。,一般,39611
00b37c99,女,27,販売スタッフ,東京都,独身,映画鑑賞、料理、アウトドア,住宅ローン,東京都在住27歳女性。販売スタッフとして働く。趣味は映画鑑賞、料理、アウトドア。,一般,349500
baa9697c,女,41,学生,埼玉県,既婚子なし,音楽、アウトドア、ショッピング、ガーデニング,人間関係,埼玉県在住41歳女性。学生として働く。趣味は音楽、アウトドア、ショッピング、ガーデニング。,一般,355372
993bfead,女,20,ITエンジニア,広島県,既婚子なし,映画鑑賞、スポーツ、カフェ巡り、読書,副業,広島県在住20歳女性。ITエンジニアとして働く。趣味は映画鑑賞、スポーツ、カフェ巡り、読書。,ブロンズ,375013
eb6abc1f,女,57,医療従事者,東京都,独身,料理、読書、ガーデニング、ショッピング,老後の資金,東京都在住57歳女性。医療従事者として働く。趣味は料理、読書、ガーデニング、ショッピング。,ブロンズ,192807
66eb21e4,男,35,学生,北海道,独身,料理、音楽、DIY,老後の資金,北海道在住35歳男性。学生として働く。趣味は料理、音楽、DIY。,一般,98911
c81037af,男,31,営業職,福岡県,既婚子なし,DIY、音楽、ショッピング,副業,福岡県在住31歳男性。営業職として働く。趣味はDIY、音楽、ショッピング。,一般,361612
24d2b303,男,32,医療従事者,千葉県,既婚子あり（2人以上）,スポーツ、カフェ巡り、映画鑑賞、ゲーム,転職,千葉県在住32歳男性。医療従事者として働く。趣味はスポーツ、カフェ巡り、映画鑑賞、ゲーム。,一般,409165
87a893dc,男,38,学生,宮城県,既婚子なし,DIY、映画鑑賞,スキルアップ,宮城県在住38歳男性。学生として働く。趣味はDIY、映画鑑賞。,ブロンズ,255650
686e00c1,女,38,学生,神奈川県,独身,料理、写真,老後の資金,神奈川県在住38歳女性。学生として働く。趣味は料理、写真。,シルバー,404229
a55f4363,女,31,フリーランス,広島県,既婚子あり（1人）,写真、映画鑑賞,ワークライフバランス,広島県在住31歳女性。フリーランスとして働く。趣味は写真、映画鑑賞。,ブロンズ,285491
d0d35b88,女,66,ITエンジニア,東京都,既婚子あり（1人）,スポーツ、アウトドア、カフェ巡り,住宅ローン,東京都在住66歳女性。ITエンジニアとして働く。趣味はスポーツ、アウトドア、カフェ巡り。,一般,498022
6b5e2f0f,男,31,教員,北海道,既婚子なし,ショッピング、読書,ワークライフバランス,北海道在住31歳男性。教員として働く。趣味はショッピング、読書。,ブロンズ,189617
fe3d7f23,男,31,営業職,広島県,既婚子あり（2人以上）,読書、料理、アウトドア,副業,広島県在住31歳男性。営業職として働く。趣味は読書、料理、アウトドア。,シルバー,444693
8a3c5403,女,38,ITエンジニア,福岡県,独身,読書、旅行、アウトドア、音楽,老後の資金,福岡県在住38歳女性。ITエンジニアとして働く。趣味は読書、旅行、アウトドア、音楽。,一般,374942
3a437ea6,男,65,学生,大阪府,既婚子あり（2人以上）,映画鑑賞、アウトドア、DIY,スキルアップ,大阪府在住65歳男性。学生として働く。趣味は映画鑑賞、アウトドア、DIY。,ゴールド,301524
be9731dd,女,32,管理職,北海道,既婚子あり（1人）,DIY、写真、料理、カフェ巡り,住宅ローン,北海道在住32歳女性。管理職として働く。趣味はDIY、写真、料理、カフェ巡り。,ゴールド,94161
57b760d2,女,33,医療従事者,神奈川県,既婚子あり（1人）,ゲーム、音楽,住宅ローン,神奈川県在住33歳女性。医療従事者として働く。趣味はゲーム、音楽。,ブロンズ,100275
a7366537,女,46,事務職,神奈川県,既婚子あり（1人）,ショッピング、ガーデニング,住宅ローン,神奈川県在住46歳女性。事務職として働く。趣味はショッピング、ガーデニング。,ブロンズ,48875
76117afb,男,39,営業職,北海道,既婚子あり（2人以上）,ガーデニング、料理、ショッピング、DIY,副業,北海道在住39歳男性。営業職として働く。趣味はガーデニング、料理、ショッピング、DIY。,ブロンズ,415696
0f6815ed,男,29,主婦,福岡県,既婚子なし,読書、ショッピング、音楽、DIY,キャリアアップ,福岡県在住29歳男性。主婦として働く。趣味は読書、ショッピング、音楽、DIY。,一般,97804
cff268c1,男,22,パート,愛知県,既婚子なし,アウトドア、読書、音楽,スキルアップ,愛知県在住22歳男性。パートとして働く。趣味はアウトドア、読書、音楽。,ゴールド,218007
81ccdc13,男,46,管理職,千葉県,既婚子あり（2人以上）,スポーツ、アウトドア、カフェ巡り,キャリアアップ,千葉県在住46歳男性。管理職として働く。趣味はスポーツ、アウトドア、カフェ巡り。,一般,484876
